117,1766998733382,1766998733482,1,0
118,1766998733415,1766998733515,1,0
119,1766998733449,1766998733549,1,0
120,1766998733482,1766998733582,1,0
121,1766998733515,1766998733615,1,0
122,1766998733549,1766998733649,1,0
123,1766998733582,1766998733682,1,0
124,1766998733615,1766998733715,1,0
125,1766998733649,1766998733749,1,0
126,1766998733682,1766998733782,1,0
127,1766998733715,1766998733815,1,0
128,1766998733749,1766998733849,1,0
129,1766998733782,1766998733882,1,1
130,1766998733815,1766998733915,1,0
131,1766998733849,1766998733949,1,0
132,1766998733882,1766998733982,1,0
133,1766998733915,1766998734015,1,0
134,1766998733949,1766998734049,1,0
135,1766998733982,1766998734082,1,0
136,1766998734015,1766998734115,1,0
137,1766998734049,1766998734149,1,0
138,1766998734082,1766998734182,1,0
139,1766998734115,1766998734215,1,1
140,1766998734149,1766998734249,1,0
141,1766998734182,1766998734282,1,0
142,1766998734215,1766998734315,1,0
143,1766998734249,1766998734349,1,0
144,1766998734282,1766998734382,1,0
145,1766998734549,1766998734649,1,0
146,1766998734349,1766998734649,1,0
147,1766998734382,1766998734649,1,1
148,1766998734415,1766998734649,1,1
149,1766998734449,1766998734649,1,0
150,1766998734482,1766998734649,1,0
151,1766998734516,1766998734649,1,0
152,1766998734549,1766998734649,1,0
153,1766998734582,1766998734682,1,0
154,1766998734615,1766998734715,1,0
155,1766998734649,1766998734749,1,1
156,1766998734682,1766998734782,1,0
157,1766998734716,1766998734816,1,0
158,1766998734749,1766998734849,1,0
159,1766998734782,1766998734882,1,0
160,1766998734816,1766998734916,1,1
161,1766998734849,1766998734949,1,0
162,1766998734882,1766998734982,1,1
163,1766998734915,1766998735016,1,0
164,1766998734949,1766998735049,1,0
165,1766998734982,1766998735082,1,0
166,1766998735015,1766998735116,1,0
167,1766998735049,1766998735149,1,0
168,1766998735082,1766998735182,1,0
169,1766998735115,1766998735216,1,0
170,1766998735149,1766998735249,1,0
171,1766998735182,1766998735282,1,0
172,1766998735215,1766998735315,1,0
173,1766998735249,1766998735349,1,0
174,1766998735282,1766998735382,1,0
175,1766998735315,1766998735416,1,0
176,1766998735349,1766998735449,1,0
177,1766998735382,1766998735482,1,0
178,1766998735416,1766998735516,1,0
179,1766998735449,1766998735549,1,1
180,1766998735482,1766998735582,1,0
181,1766998735515,1766998735616,1,0
182,1766998735549,1766998735649,1,0
183,1766998735582,1766998735682,1,0
184,1766998735615,1766998735716,1,0
185,1766998735649,1766998735749,1,0
186,1766998735682,1766998735782,1,1
187,1766998735716,1766998735816,1,0
188,1766998735749,1766998735849,1,0
189,1766998735782,1766998735882,1,0
190,1766998735816,1766998735916,1,1
191,1766998735849,1766998735949,1,0
192,1766998735882,1766998735982,1,0
193,1766998735916,1766998736016,1,0
194,1766998735949,1766998736049,1,1
195,1766998735982,1766998736082,1,0
196,1766998736016,1766998736116,1,0
197,1766998736049,1766998736149,1,0
198,1766998736082,1766998736182,1,0
199,1766998736116,1766998736216,1,0
200,1766998736149,1766998736249,1,0
201,1766998736182,1766998736282,1,0
202,1766998736216,1766998736749,1,0
203,1766998736249,1766998736749,1,0
204,1766998736282,1766998736749,1,0
205,1766998736316,1766998736749,1,0
206,1766998736349,1766998736749,1,0
207,1766998736382,1766998736749,1,0
208,1766998736416,1766998736749,1,0
209,1766998736449,1766998736749,1,0
210,1766998736482,1766998736749,1,1
211,1766998736516,1766998736749,1,0
212,1766998736549,1766998736749,1,0
213,1766998736582,1766998736749,1,0
214,1766998736616,1766998736749,1,0
215,1766998736649,1766998736749,1,0
216,1766998736682,1766998736782,1,0
217,1766998736716,1766998736816,1,0
218,1766998736749,1766998736849,1,0
219,1766998736782,1766998736882,1,0
220,1766998736816,1766998736916,1,0
221,1766998736849,1766998736949,1,1
222,1766998736882,1766998736982,1,0
223,1766998736916,1766998737016,1,0
224,1766998736949,1766998737049,1,0
225,1766998736982,1766998737082,1,1
226,1766998737016,1766998737116,1,1
227,1766998737049,1766998737149,1,0
228,1766998737082,1766998737182,1,0
229,1766998737116,1766998737216,1,0
230,1766998737149,1766998737249,1,0
231,1766998737182,1766998737282,1,1
232,1766998737216,1766998737316,1,0
233,1766998737249,1766998737349,1,0
234,1766998737282,1766998737382,1,0
235,1766998737316,1766998737416,1,0
236,1766998737349,1766998737449,1,1
237,1766998737382,1766998737482,1,0
238,1766998737416,1766998737749,1,0
239,1766998737449,1766998737749,1,0
240,1766998737483,1766998737749,1,0
241,1766998737516,1766998737749,1,0
242,1766998737549,1766998737749,1,0
243,1766998737582,1766998737749,1,0
244,1766998737616,1766998737749,1,0
245,1766998737649,1766998737749,1,0
246,1766998737682,1766998737782,1,1
247,1766998737716,1766998737816,1,0
248,1766998737749,1766998737849,1,0
249,1766998737782,1766998737882,1,0
250,1766998737815,1766998737915,1,0
251,1766998737849,1766998737949,1,1
252,1766998737882,1766998737982,1,0
253,1766998737915,1766998738015,1,1
254,1766998737949,1766998738049,1,0
255,1766998737982,1766998738082,1,0
256,1766998738016,1766998738116,1,0
257,1766998738049,1766998738149,1,0
258,1766998738082,1766998738182,1,0
259,1766998738116,1766998738216,1,0
260,1766998738149,1766998738249,1,0
261,1766998738182,1766998738282,1,0
262,1766998738215,1766998738316,1,0
263,1766998738249,1766998738349,1,0
264,1766998738282,1766998738382,1,0
265,1766998738316,1766998738416,1,0
266,1766998738349,1766998738449,1,0
267,1766998738382,1766998738482,1,0
268,1766998738416,1766998738516,1,1
269,1766998738449,1766998738549,1,0
270,1766998738482,1766998738582,1,0
271,1766998738516,1766998738616,1,0
272,1766998738549,1766998738649,1,0
273,1766998738582,1766998738682,1,0
274,1766998738616,1766998738716,1,0
275,1766998738649,1766998738749,1,0
276,1766998738682,1766998738782,1,0
277,1766998738715,1766998738816,1,0
278,1766998738749,1766998738849,1,0
279,1766998738782,1766998738882,1,0
280,1766998738815,1766998738916,1,0
281,1766998738849,1766998738949,1,0
282,1766998738882,1766998738982,1,0
283,1766998738916,1766998739016,1,0
284,1766998738949,1766998739049,1,0
285,1766998738982,1766998739082,1,0
286,1766998739015,1766998739115,1,0
287,1766998739049,1766998739149,1,1
288,1766998739082,1766998739182,1,0
289,1766998739115,1766998739216,1,0
290,1766998739149,1766998739249,1,0
291,1766998739182,1766998739282,1,0
292,1766998739215,1766998739315,1,0
